#{"t_start": 1640326699.8127866, "env_id": null}
r,l,t
-3.826903,25,0.173425
-1.831466,25,0.204669
-2.503071,31,0.251533
-3.426378,22,0.267154
-0.595513,20,0.298397
-1.917464,21,0.314018
-1.841029,23,0.34526
-0.772722,22,0.376503
-0.36926,28,0.407745
-0.386331,28,0.438989
-3.974494,25,0.470231
-1.687449,21,0.501474
1.062906,24,0.517095
-1.664082,23,0.548337
-0.093145,22,0.579581
-1.418641,26,0.610822
-1.504827,28,0.642066
-2.340497,22,0.673308
0.324931,25,0.706018
-0.166201,26,0.736039
0.499121,23,0.749058
1.008682,27,0.795923
-3.374283,27,0.827165
0.928378,21,0.842786
-3.897311,25,0.874029
-1.57491,21,0.905272
0.340599,23,0.920893
-0.958778,22,0.952136
0.577474,22,0.983378
-0.408679,18,0.998999
-1.002148,25,1.030242
-2.708409,22,1.061484
0.107502,22,1.077106
0.414123,23,1.108349
1.138722,24,1.139591
-1.615204,24,1.170834
-0.14016,34,1.202076
-0.863245,19,1.233319
-1.552206,24,1.24894
0.356535,22,1.280183
0.008263,24,1.316214
-0.436997,21,1.340403
-4.176201,22,1.356025
0.211986,21,1.387267
-0.453952,22,1.402888
-3.330154,27,1.43413
-1.712752,27,1.465373
0.522451,25,1.496616
-1.88861,25,1.527859
-0.394755,21,1.559101
0.62157,21,1.574723
0.401003,26,1.605965
-4.265769,18,1.621587
-2.184234,24,1.652829
-0.577253,24,1.684072
-2.503824,18,1.699693
0.735789,24,1.730935
-0.579096,24,1.762178
-1.468417,22,1.793421
-0.058841,19,1.809042
-2.14974,23,1.840285
0.229486,19,1.855906
-0.103141,24,1.887149
-0.349335,23,1.918854
-3.994897,19,1.940829
-1.738439,24,1.962824
0.10144,20,1.978446
-0.06347,21,2.009688
1.159571,25,2.040931
0.142499,21,2.056552
-0.90605,24,2.087795
-0.639443,21,2.119038
-3.634546,27,2.15028
-2.227106,24,2.181523
-0.450152,23,2.212765
-1.457327,26,2.244008
-1.430227,27,2.275251
-0.393151,24,2.290871
-0.028129,23,2.322114
-0.402489,25,2.353357
-0.087558,23,2.3846
-0.472129,25,2.415843
-1.252241,17,2.431464
-0.048007,19,2.447085
-2.216282,23,2.478328
-3.738203,27,2.509571
1.201875,28,2.548964
-2.568547,25,2.571639
-2.123587,26,2.602882
-2.860223,21,2.634124
0.337807,22,2.649745
-2.95464,23,2.680988
-1.395464,25,2.712231
-3.455803,27,2.743474
0.831257,23,2.759094
-0.271026,21,2.790337
-0.696535,20,2.82158
-2.111491,24,2.837201
0.370634,23,2.868444
0.062497,20,2.899686
-0.991626,23,2.915308
0.347796,26,2.94655
-0.124087,25,2.977793
-2.224778,26,3.009035
-0.306208,20,3.040278
1.053869,24,3.0559
0.244005,19,3.087143
-0.921648,24,3.118385
-3.263512,23,3.145443
-0.713578,22,3.170377
-1.083672,23,3.194028
0.445942,24,3.225271
-1.267791,23,3.240891
-2.897889,25,3.272134
-0.201071,24,3.303376
0.31641,24,3.334619
0.113073,22,3.35024
0.21912,21,3.381483
-2.897994,27,3.412726
1.835452,28,3.443969
0.590328,25,3.475212
-2.430112,26,3.506454
-2.150119,19,3.522075
-0.024976,25,3.553317
0.541175,22,3.58456
-1.093915,26,3.615803
-2.439589,28,3.647045
-0.391349,20,3.662667
-1.967732,24,3.693909
1.082412,18,3.709531
1.050742,28,3.755215
0.32466,25,3.78454
-0.602716,21,3.801207
-0.48246,23,3.832449
-3.148846,22,3.848071
0.328191,21,3.879313
-3.961705,23,3.910556
0.623441,25,3.926178
1.427512,23,3.95742
1.938262,25,3.988663
0.682793,26,4.019905
0.861286,23,4.051148
-1.682102,24,4.066769
-2.70394,20,4.098011
0.492443,24,4.129254
-2.358887,24,4.160497
0.58509,18,4.176118
-2.750316,25,4.207361
-0.042171,22,4.238604
1.319351,21,4.254225
0.416112,19,4.285468
0.428718,23,4.31671
-1.032284,20,4.332331
0.831006,28,4.373736
-1.444965,26,4.392757
0.652887,22,4.423999
-1.144641,26,4.455242
0.051096,23,4.486485
-1.616106,23,4.502106
-0.95593,25,4.533349
-0.159904,22,4.564591
-2.606425,29,4.595834
-1.254775,22,4.627077
0.07182,24,4.658319
1.48358,26,4.689562
-0.907418,23,4.705183
-1.91686,25,4.736425
-0.444023,23,4.767668
-3.274846,22,4.798911
0.995997,24,4.814532
0.316163,23,4.845774
-0.642828,23,4.877017
-1.083615,25,4.90826
0.364149,20,4.923881
0.345144,26,4.965555
-0.817007,23,5.732406
0.312554,25,5.763648
-0.403934,20,5.77927
-2.465427,27,5.810513
-0.056991,24,5.841755
-2.46166,25,5.872998
-1.043468,27,5.904241
-1.378553,26,5.935483
0.359667,25,5.966726
-2.472073,24,5.982347
-1.833735,23,6.01359
-0.182986,22,6.044832
-1.443931,29,6.076075
-2.402336,23,6.107318
0.992566,24,6.138561
0.37029,27,6.176353
-0.450342,21,6.200328
-0.778351,19,6.214405
-0.923749,24,6.245648
-2.88822,30,6.27689
-3.85725,22,6.308133
-0.2756,20,6.323755
0.510109,26,6.354997
-0.249766,20,6.38624
-1.487138,20,6.401862
-0.412342,26,6.433104
-1.854899,25,6.464346
-3.508905,23,6.495589
-2.115232,24,6.51121
0.06393,24,6.542453
1.312219,23,6.573695
0.531691,27,6.604938
0.775667,21,6.636181
-3.966604,24,6.651803
1.446087,26,6.683045
-1.547139,21,6.714288
0.083373,23,6.745529
-1.695717,26,6.823128
-0.348798,25,6.854371
0.705574,21,6.885613
-1.505804,20,6.901235
0.793349,23,6.932477
-2.573525,23,6.96372
-0.191367,26,6.994963
-1.905196,25,7.026206
0.037324,26,7.057447
-2.56171,25,7.073069
-2.800858,25,7.104311
-1.420285,26,7.135554
1.178107,21,7.166797
0.021099,28,7.198039
-1.545731,32,7.229282
-0.691826,21,7.260525
-3.993665,24,7.291767
1.006814,26,7.32301
-0.158169,21,7.338632
-1.921214,23,7.369874
1.72065,23,7.404903
-3.173412,20,7.42788
-1.768597,21,7.445545
0.220343,20,7.461166
0.153867,27,7.50803
-0.751881,25,7.523652
0.94464,28,7.554894
1.287468,21,7.586137
-2.611814,26,7.617379
-0.149892,26,7.648623
-1.085322,25,7.679864
1.568848,24,7.711108
-2.508315,23,7.726729
0.767239,23,7.757971
0.43039,19,7.773593
-2.679879,25,7.804835
-0.690963,24,7.836078
0.419861,22,7.867321
-2.623706,32,7.914184
0.688118,23,7.929806
0.3916,19,7.961048
-2.172877,27,7.996743
-0.195559,25,8.025719
-3.617539,19,8.036744
-1.612736,24,8.067987
-0.213126,21,8.099229
-0.650977,25,8.130472
-0.979815,26,8.161715
-4.006794,19,8.177336
0.299249,23,8.208578
-0.881473,28,8.239821
-1.112887,21,8.271063
-3.018948,20,8.286685
-0.639702,25,8.317928
-4.215651,35,8.364791
-2.10232,28,8.396034
0.025571,22,8.411655
-0.144745,29,8.442898
0.860388,22,8.47414
-2.089304,23,8.505383
-3.150802,26,8.536626
-1.293767,21,8.552247
-2.011768,20,8.58349
-0.253618,21,8.61153
-0.060439,24,8.639489
1.728158,23,8.659154
-3.031443,20,8.690397
-0.643876,25,8.706018
-2.509784,24,8.737261
-0.789022,25,8.768503
0.791029,25,8.799746
-0.112775,24,8.830989
0.050245,24,8.862231
-3.638041,21,8.877853
0.247041,21,8.909096
0.548165,24,8.940338
-1.276585,24,8.955959
-2.075914,20,8.987202
-0.312804,22,9.018445
-0.392685,26,9.049687
-0.025003,28,9.08093
-1.941579,25,9.096551
-2.612485,27,9.127794
-1.71233,26,9.159037
-2.684967,22,9.190279
-3.258237,23,9.225733
-0.139445,22,9.239184
-1.581218,23,9.270427
0.051198,25,9.301669
0.241694,27,9.332912
1.151073,27,9.364155
-2.053332,28,9.395397
-3.814099,24,9.42664
1.000663,25,9.457883
-0.912053,22,9.473504
-0.198962,25,9.504747
-0.141449,30,9.535989
0.081673,20,9.567232
-4.206063,27,9.598475
-1.87528,20,9.614096
-4.392135,28,9.645339
-0.05428,21,9.676581
-3.213705,23,9.707824
1.143658,21,9.723445
0.170032,23,9.754688
-0.048347,23,9.78593
1.108515,24,9.818633
-2.471658,23,9.8456
-0.105006,22,9.861605
-2.434518,23,9.892848
0.710054,23,9.92409
-3.763266,23,9.939712
-0.206247,22,9.970955
-0.525146,21,9.986576
-1.142952,22,10.017818
-1.714907,24,10.049062
1.10528,24,10.080304
0.85002,27,10.111547
1.219546,23,10.142789
-3.410746,27,10.174032
0.957753,29,10.205274
-3.244493,25,10.236517
-2.184998,25,10.267759
0.456912,24,10.299002
0.178277,27,10.330245
-1.584414,26,10.361487
-0.75174,23,10.377109
-1.317854,20,10.408351
-0.347671,19,10.434469
-0.178565,25,10.463437
0.074338,23,10.485089
1.099605,24,10.516331
-3.766471,23,10.531953
-3.262728,22,10.563195
-0.271234,26,11.341799
-2.64783,22,11.373042
-0.385116,26,11.404285
-0.251726,23,11.435527
-1.514273,28,11.466769
0.813047,27,11.498013
1.221558,22,11.513634
0.026351,22,11.544876
-2.073592,23,11.576119
-1.122718,26,11.607361
-0.187029,25,11.641412
-3.371224,24,11.669337
-0.311405,25,11.688434
0.194962,26,11.719676
-0.563987,24,11.750919
-1.051673,28,11.782161
-3.072824,26,11.813404
-0.102047,23,11.844646
0.474633,24,11.860268
0.091173,31,11.907131
1.039217,28,11.938374
0.345402,25,11.969617
-1.231118,22,11.985238
-1.762834,28,12.01648
-3.226813,27,12.047723
0.239817,25,12.078966
-2.121182,19,12.110209
-1.953497,30,12.157073
-2.644857,21,12.172694
0.39007,24,12.203937
-2.986301,29,12.23518
-0.39852,23,12.273311
-0.408603,20,12.295366
-2.029258,22,12.310987
-1.109232,26,12.34223
-2.484635,27,12.373473
-0.194609,25,12.404715
-0.566496,25,12.435958
-0.539773,26,12.467201
-0.183027,20,12.498444
-3.340423,29,12.529685
-2.40375,29,12.560929
0.027121,25,12.592172
0.540265,22,12.623414
-0.229115,24,12.639035
0.046249,24,12.670278
0.651756,26,12.701521
-0.48093,23,12.732763
0.420885,21,12.764005
-0.314873,19,12.779627
-1.904779,24,12.810869
-0.963178,20,12.82649
-2.485557,23,12.869165
0.977623,26,12.900232
-1.605418,22,12.917911
-1.671386,20,12.949154
-2.103561,29,12.980397
0.321181,24,13.011639
0.725809,24,13.050433
-0.883274,27,13.10729
-2.631649,25,13.13904
0.855262,21,13.166965
0.512568,22,13.194891
-2.558546,29,13.234014
-0.010001,23,13.264072
-2.403185,27,13.296984
-0.333077,26,13.329895
1.111913,26,13.363805
-1.060828,20,13.388738
-0.146212,22,13.416059
1.757653,25,13.445431
1.254975,24,13.474354
-1.029593,26,13.50741
-0.05839,23,13.527798
1.414954,18,13.614098
0.821198,24,13.642023
-0.356628,24,13.67102
-1.751425,28,13.69439
-0.231473,26,13.736745
-0.656864,20,13.761105
-3.04994,22,13.787741
0.115883,25,13.819041
1.027768,22,13.847963
-1.39622,27,13.880875
-2.755317,19,13.903814
-0.903558,27,13.927071
-0.115107,26,13.966081
0.828094,26,13.998393
-2.102055,21,14.024324
0.539108,23,14.053246
-0.076395,20,14.077183
-0.351856,24,14.107103
-2.257059,26,14.141011
