#{"t_start": 1652188045.377205, "env_id": null}
r,l,t
1.280579,4,0.046836
-1.028719,3,0.077639
-0.247766,2,0.091602
-0.41633,3,0.113637
-1.026526,2,0.129259
-1.035517,2,0.14488
0.00576,4,0.176122
0.251133,4,0.222987
-0.135812,3,0.238608
-0.163406,4,0.285472
-0.547076,3,0.301093
-0.28981,2,0.316714
2.267972,4,0.347957
-0.361575,3,0.3792
-0.327537,3,0.410442
0.225617,3,0.426063
-0.788242,2,0.441685
2.536161,4,0.472928
-0.966001,3,0.504171
-0.832151,2,0.519792
-1.084172,2,0.535414
-0.392693,4,0.582277
-0.366531,3,0.61352
-0.833053,3,0.629141
-0.719898,2,0.644762
-0.842732,2,0.660384
-0.30217,4,0.713267
-0.865516,3,0.742891
0.394904,4,0.774134
-0.724374,2,0.789755
-0.534093,3,0.820998
-0.669067,4,0.85224
-0.191996,4,0.899104
-1.330347,3,0.930347
0.561672,4,0.96159
-0.880985,2,0.977211
-0.606351,4,1.024075
0.75885,4,1.05532
0.590051,4,1.102183
0.647228,4,1.133424
0.016177,4,1.164668
-0.820789,2,1.180288
0.044133,4,1.227154
-0.203758,2,1.242774
0.368388,4,1.291918
-0.496508,3,1.31992
-0.380666,3,1.339963
-0.979518,2,1.355585
-0.745824,2,1.386827
-0.16508,3,1.418072
-0.16251,3,1.449313
-1.133565,3,1.480557
0.436211,3,1.496177
-0.516718,3,1.52742
-0.032272,4,1.574284
0.329048,3,1.605527
0.418527,3,1.621148
1.843797,4,1.668011
-0.950829,2,1.687726
-0.056196,4,1.720049
-0.257873,3,1.73567
0.295992,4,1.782534
0.409138,4,1.813777
-0.218399,3,1.84502
0.452238,4,1.876262
0.244276,3,1.90912
-0.911212,2,1.926123
0.560411,4,1.958754
-0.934547,2,1.974376
-0.855913,2,1.989997
-0.630273,3,2.021239
-0.567252,2,2.03686
1.685389,4,2.068103
0.088465,3,2.099346
-0.651011,3,2.130588
0.169844,4,2.16183
-0.899563,2,2.177452
0.6146,4,2.208695
-0.820459,3,2.239937
-1.146638,2,2.27118
-0.88956,2,2.286802
1.155958,4,2.318043
0.66825,4,2.349286
-0.268595,3,2.380529
-0.019785,4,2.427393
-0.194393,3,2.443014
-0.53519,3,2.474257
-0.846511,2,2.489878
-0.451517,3,2.530749
0.068934,4,2.556721
-0.962389,3,2.587964
2.087284,4,2.634828
0.762497,4,2.666071
-0.295226,3,2.697313
0.291388,3,2.712935
2.086378,4,2.759799
-1.044778,3,2.791042
-0.453836,3,2.806663
0.271102,4,2.853527
-0.182437,4,2.88477
0.137208,3,2.916012
-0.752787,2,2.931633
0.083903,3,2.962876
-0.771177,2,2.978634
0.171858,4,3.009793
-0.766851,2,3.025414
0.343838,3,3.056657
1.656526,4,3.087899
0.427806,4,3.135303
-0.794539,2,3.151313
0.635603,4,3.170286
0.670564,4,3.21715
0.876575,4,3.248393
-0.476295,2,3.264014
-1.017326,2,3.279636
-0.796753,2,3.295257
0.868118,4,3.3265
1.303443,4,3.388985
-0.207988,4,3.435849
-0.042081,3,3.451471
-0.277054,3,3.482713
0.00414,3,3.513956
0.441055,3,3.545198
1.317665,4,3.57644
-0.823173,2,3.592062
0.131918,3,3.607683
0.404474,3,3.638927
-0.774066,2,3.654548
0.173295,4,3.701411
0.113173,3,3.725523
-0.884211,2,3.730651
1.251428,4,3.780421
-0.891391,3,3.797401
0.471817,4,3.844265
0.180811,4,3.875508
-0.833582,4,3.922372
-0.215665,3,3.953614
-0.741111,2,3.969236
1.37191,4,4.000478
1.015991,4,4.031721
-0.56028,3,4.062963
-0.798211,2,4.078585
-0.271954,3,4.109828
-0.775034,2,4.125449
-0.97325,2,4.14107
-0.006024,3,4.156692
0.026006,3,4.187934
0.737968,4,4.234798
-0.687766,2,4.25042
0.858341,4,4.281662
0.173941,4,4.312905
-0.441953,2,4.328526
-0.516931,2,4.344147
-0.442539,3,4.373956
0.20211,4,4.409898
-0.55506,4,4.442171
-1.139887,2,4.457792
1.835005,4,4.489035
0.226148,3,4.520277
0.337935,3,4.535899
-0.972013,2,4.55152
-0.111742,4,4.598384
0.242473,4,4.629627
-0.069222,2,4.645248
0.766809,4,4.676491
-0.736608,4,4.707733
1.974841,4,4.738976
-0.869653,2,4.754597
-1.281507,2,4.770219
0.140702,4,4.817083
0.412884,4,4.848325
-0.13379,2,4.863947
-0.184493,4,4.895189
0.072487,3,4.91081
0.049824,3,4.942053
